survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
0,male,24.0,0,1,247.5208,first,b,cherbourg,n
0,male,32.5,1,0,30.0708,second,,cherbourg,n
1,female,32.5,0,0,13.0,second,e,southampton,y
0,male,28.0,0,0,7.75,third,,queenstown,y
1,male,24.0,0,0,7.1417,third,,southampton,y
0,male,45.0,0,0,6.975,third,,southampton,y
0,male,20.0,0,0,7.05,third,,southampton,y
0,female,47.0,1,0,14.5,third,,southampton,n
0,male,23.0,0,0,15.0458,second,,cherbourg,y
1,female,19.0,0,2,26.2833,first,d,southampton,n
0,male,37.0,1,0,53.1,first,c,southampton,n
0,male,16.0,0,0,9.2167,third,,southampton,y
0,male,24.0,0,0,79.2,first,b,cherbourg,y
0,female,28.0,0,2,15.2458,third,,cherbourg,n
1,female,22.0,0,0,7.75,third,,southampton,y
0,male,19.0,0,0,6.75,third,,queenstown,y
0,male,18.0,0,0,11.5,second,,southampton,y
0,female,9.0,2,2,34.375,third,,southampton,n
0,male,51.0,0,0,12.525,second,,southampton,y
0,male,55.5,0,0,8.05,third,,southampton,y
0,male,40.5,0,2,14.5,third,,southampton,n
0,male,28.0,0,0,7.3125,third,,southampton,y
0,male,51.0,0,1,61.3792,first,,cherbourg,n
1,female,16.0,0,0,7.7333,third,,queenstown,y
0,male,28.0,0,0,8.6625,third,,southampton,y
0,male,28.0,8,2,69.55,third,,southampton,n
0,male,44.0,0,1,16.1,third,,southampton,n
0,male,26.0,0,0,7.775,third,,southampton,y
0,male,17.0,0,0,8.6625,third,,southampton,y
0,male,1.0,4,1,39.6875,third,,southampton,n
1,female,28.0,0,1,55.0,first,e,southampton,n
0,male,28.0,0,0,56.4958,third,,southampton,y
0,male,4.0,4,1,29.125,third,,queenstown,n
0,male,18.0,1,1,7.8542,third,,southampton,n
0,male,28.0,3,1,25.4667,third,,southampton,n
0,female,50.0,0,0,28.7125,first,c,cherbourg,y
0,male,30.0,0,0,13.0,second,,southampton,y
0,male,36.0,0,0,0.0,third,,southampton,y
0,female,28.0,8,2,69.55,third,,southampton,n
0,male,28.0,0,0,15.05,second,,cherbourg,y
0,male,9.0,4,2,31.3875,third,,southampton,n
1,female,4.0,0,2,22.025,third,,southampton,n
1,female,28.0,1,0,15.5,third,,queenstown,n
1,male,45.0,0,0,26.55,first,,southampton,y
0,male,36.0,0,0,7.8958,third,,southampton,y
1,female,32.0,0,0,13.0,second,,southampton,y
1,female,19.0,1,0,7.8542,third,,southampton,n
1,male,3.0,1,1,26.0,second,f,southampton,n
1,female,44.0,0,0,27.7208,first,b,cherbourg,y
1,female,58.0,0,0,146.5208,first,b,cherbourg,y
0,female,24.0,0,0,13.0,second,,southampton,y
0,male,28.0,0,0,9.5,third,,southampton,y
0,male,34.0,0,0,6.4958,third,,southampton,y
0,female,2.0,0,1,10.4625,third,g,southampton,n
0,male,32.0,1,0,15.85,third,,southampton,n
1,male,26.0,0,0,18.7875,third,,cherbourg,y
1,female,16.0,0,0,7.75,third,,queenstown,y
1,male,40.0,0,0,31.0,first,a,cherbourg,y
1,female,35.0,0,0,21.0,second,,southampton,y
0,male,22.0,0,0,7.25,third,,southampton,y
0,male,28.0,1,0,7.75,third,,queenstown,n
1,female,31.0,1,0,113.275,first,d,cherbourg,n
1,female,27.0,0,0,7.925,third,,southampton,y
0,male,42.0,1,0,27.0,second,,southampton,n
0,male,30.0,0,0,10.5,second,,southampton,y
1,male,16.0,0,0,8.05,third,,southampton,y
0,male,51.0,0,0,8.05,third,,southampton,y
0,male,22.0,0,0,9.35,third,,southampton,y
1,male,19.0,0,0,10.5,second,,southampton,y
0,male,20.5,0,0,7.25,third,,southampton,y
0,male,18.0,0,0,13.0,second,,southampton,y
0,female,28.0,3,1,25.4667,third,,southampton,n
1,female,35.0,1,0,83.475,first,c,southampton,n
0,male,29.0,0,0,7.775,third,,southampton,y
0,male,59.0,0,0,13.5,second,,southampton,y
0,female,28.0,0,0,7.55,third,,southampton,y
0,male,44.0,1,0,26.0,second,,southampton,n
0,male,19.0,0,0,10.5,second,,southampton,y
0,male,33.0,0,0,12.275,second,,southampton,y
0,female,28.0,1,0,14.4542,third,,cherbourg,n
0,male,22.0,0,0,7.125,third,,southampton,y
0,male,30.0,0,0,7.225,third,,cherbourg,y
0,male,44.0,2,0,90.0,first,c,queenstown,n
1,female,24.0,0,2,14.5,second,,southampton,n
0,male,28.0,0,0,7.25,third,,southampton,y
0,female,29.0,1,1,10.4625,third,g,southampton,n
0,male,30.0,1,0,16.1,third,,southampton,n
0,female,41.0,0,2,20.2125,third,,southampton,n
1,female,28.0,0,0,79.2,first,,cherbourg,y
1,female,35.0,0,0,512.3292,first,,cherbourg,y
1,female,50.0,0,1,26.0,second,,southampton,n
1,male,3.0,4,2,31.3875,third,,southampton,n
0,male,40.0,0,0,0.0,first,b,southampton,y
0,female,28.0,0,0,7.75,third,,queenstown,y
0,male,36.0,0,0,10.5,second,,southampton,y
0,male,16.0,4,1,39.6875,third,,southampton,n
1,male,25.0,1,0,7.775,third,,southampton,n
1,female,58.0,0,1,153.4625,first,c,southampton,n
1,female,35.0,0,0,135.6333,first,c,southampton,y
0,male,28.0,0,0,31.0,first,,southampton,y
1,male,25.0,0,0,0.0,third,,southampton,y
1,female,41.0,0,1,19.5,second,,southampton,n
0,male,37.0,0,1,29.7,first,c,cherbourg,n
1,female,63.0,1,0,77.9583,first,d,southampton,n
0,female,45.0,0,0,7.75,third,,southampton,y
0,male,28.0,0,0,0.0,second,,southampton,y
0,male,7.0,4,1,29.125,third,,queenstown,n
1,female,35.0,1,1,20.25,third,,southampton,n
0,male,28.0,0,0,7.8542,third,,southampton,y
0,male,16.0,0,0,9.5,third,,southampton,y
0,male,28.0,0,0,26.0,first,a,southampton,y
1,female,26.0,0,0,78.85,first,,southampton,y
0,male,36.0,0,0,12.875,second,d,cherbourg,y
0,male,24.0,0,0,7.8958,third,,southampton,y
1,male,28.0,0,0,30.5,first,c,southampton,y
1,female,50.0,0,1,247.5208,first,b,cherbourg,n
0,male,19.0,0,0,0.0,third,,southampton,y
1,female,28.0,0,0,12.35,second,e,queenstown,y
1,female,28.0,0,0,110.8833,first,,cherbourg,y
1,female,17.0,1,0,108.9,first,c,cherbourg,n
0,male,30.0,1,0,24.0,second,,cherbourg,n
1,female,30.0,0,0,56.9292,first,e,cherbourg,y
1,female,24.0,0,0,83.1583,first,c,cherbourg,y
1,female,18.0,2,2,262.375,first,b,cherbourg,n
0,female,26.0,1,1,26.0,second,,southampton,n
0,male,43.0,1,1,26.25,second,,southampton,n
1,female,24.0,1,0,26.0,second,,southampton,n
1,female,31.0,0,2,164.8667,first,c,southampton,n
1,female,40.0,1,1,134.5,first,e,cherbourg,n
0,male,27.0,0,0,7.8958,third,,southampton,y
1,female,22.0,1,1,29.0,second,,southampton,n
1,female,36.0,0,0,135.6333,first,c,cherbourg,y
0,male,61.0,0,0,6.2375,third,,southampton,y
1,female,31.0,1,1,20.525,third,,southampton,n
1,female,28.0,2,0,23.25,third,,queenstown,n
0,male,38.0,0,1,153.4625,first,c,southampton,n
1,female,28.0,1,0,133.65,first,,southampton,n
0,male,29.0,1,0,66.6,first,c,southampton,n
1,male,45.0,0,0,8.05,third,,southampton,y
0,male,45.0,0,0,35.5,first,,southampton,y
0,male,28.0,0,0,13.0,second,,southampton,y
0,male,25.0,0,0,13.0,second,,southampton,y
0,male,36.0,0,0,13.0,second,,southampton,y
1,female,24.0,0,0,13.0,second,f,southampton,y
1,female,40.0,0,0,13.0,second,,southampton,y
1,female,28.0,1,0,16.1,third,,southampton,n
0,male,15.0,1,1,7.2292,third,,cherbourg,n
0,male,25.0,1,0,17.8,third,,southampton,n
1,female,22.0,0,1,55.0,first,e,southampton,n
0,female,38.0,0,0,13.0,second,,southampton,y
0,male,40.0,1,4,27.9,third,,southampton,n
0,male,29.0,1,0,27.7208,second,,cherbourg,n
0,female,45.0,0,1,14.4542,third,,cherbourg,n
0,male,35.0,0,0,7.05,third,,southampton,y
1,female,60.0,1,0,75.25,first,d,cherbourg,n
1,female,28.0,0,0,7.2292,third,,cherbourg,y
1,female,24.0,0,0,69.3,first,b,cherbourg,y
0,male,18.0,1,0,6.4958,third,,southampton,n
0,male,19.0,0,0,8.05,third,,southampton,y
1,female,28.0,1,0,82.1708,first,,cherbourg,n
0,male,27.0,0,2,211.5,first,c,cherbourg,n
0,male,19.0,0,0,7.775,third,,southampton,y
1,female,42.0,0,0,227.525,first,,cherbourg,y
0,male,32.0,0,0,7.925,third,,southampton,y
0,male,18.0,0,0,73.5,second,,southampton,y
0,male,1.0,5,2,46.9,third,,southampton,n
0,male,28.0,0,0,7.7292,third,,queenstown,y
1,female,17.0,0,0,12.0,second,,cherbourg,y
1,male,36.0,1,2,120.0,first,b,southampton,n
1,male,21.0,0,0,7.7958,third,,southampton,y
1,female,23.0,1,0,113.275,first,d,cherbourg,n
1,female,24.0,0,2,16.7,third,g,southampton,n
0,male,22.0,0,0,7.7958,third,,southampton,y
0,female,31.0,0,0,7.8542,third,,southampton,y
0,male,46.0,0,0,26.0,second,,southampton,y
0,male,23.0,0,0,10.5,second,,southampton,y
1,male,39.0,0,0,7.925,third,,southampton,y
0,male,26.0,0,0,8.05,third,,southampton,y
0,male,28.0,1,0,15.85,third,,southampton,n
0,male,34.0,1,0,21.0,second,,southampton,n
1,male,3.0,1,1,18.75,second,,southampton,n
0,male,21.0,0,0,7.775,third,,southampton,y
0,male,28.0,0,0,6.8583,third,,queenstown,y
1,male,44.0,0,0,7.925,third,,southampton,y
0,female,28.0,0,0,8.05,third,,southampton,y
1,female,34.0,1,1,32.5,second,,southampton,n
1,female,18.0,0,2,13.0,second,,southampton,n
0,male,21.0,0,0,7.7333,third,,queenstown,y
0,male,18.0,1,1,20.2125,third,,southampton,n
1,female,19.0,0,0,26.0,second,,southampton,y
1,male,32.0,0,0,8.05,third,e,southampton,y
1,male,28.0,0,0,26.55,first,c,southampton,y
1,female,42.0,1,0,26.0,second,,southampton,n
0,male,17.0,0,0,7.125,third,,southampton,y
0,male,50.0,1,0,55.9,first,e,southampton,n
1,female,14.0,1,2,120.0,first,b,southampton,n
1,female,24.0,2,3,18.75,second,,southampton,n
0,male,64.0,1,4,263.0,first,c,southampton,n
0,male,31.0,0,0,10.5,second,,southampton,y
1,female,45.0,1,1,26.25,second,,southampton,n
0,male,20.0,0,0,9.5,third,,southampton,y
1,female,28.0,0,0,13.0,second,,southampton,y
1,male,28.0,0,0,8.1125,third,,southampton,y
1,male,34.0,0,0,26.55,first,,southampton,y
1,female,5.0,2,1,19.2583,third,,cherbourg,n
1,male,52.0,0,0,30.5,first,c,southampton,y
0,male,36.0,1,2,27.75,second,,southampton,n
0,male,30.0,0,0,27.75,first,c,cherbourg,y
1,male,49.0,1,0,89.1042,first,c,cherbourg,n
1,male,29.0,0,0,7.8958,third,,cherbourg,y
0,male,65.0,0,0,26.55,first,e,southampton,y
1,female,28.0,1,0,51.8625,first,d,southampton,n
1,male,48.0,0,0,26.55,first,e,southampton,y
0,male,34.0,0,0,8.05,third,,southampton,y
0,male,47.0,0,0,38.5,first,e,southampton,y
0,male,38.0,0,0,7.05,third,,southampton,y
0,male,56.0,0,0,26.55,first,,southampton,y
0,male,28.0,0,0,7.725,third,,queenstown,y
1,female,0.75,2,1,19.2583,third,,cherbourg,n
1,female,33.0,1,2,27.75,second,,southampton,n
1,female,23.0,0,0,13.7917,second,d,cherbourg,y
0,male,28.0,0,0,52.0,first,a,southampton,y
0,male,29.0,1,0,7.0458,third,,southampton,n
1,female,2.0,0,1,12.2875,third,,southampton,n
0,male,9.0,5,2,46.9,third,,southampton,n
1,female,63.0,0,0,9.5875,third,,southampton,y
1,male,25.0,1,0,91.0792,first,b,cherbourg,n
1,female,35.0,1,0,90.0,first,c,southampton,n
0,male,58.0,0,0,29.7,first,b,cherbourg,y
1,male,9.0,1,1,15.9,third,,southampton,n
0,male,28.0,1,0,19.9667,third,,southampton,n
0,male,71.0,0,0,49.5042,first,,cherbourg,y
0,male,21.0,0,0,8.05,third,,southampton,y
0,female,25.0,1,2,151.55,first,c,southampton,n
0,female,21.0,0,0,7.75,third,,queenstown,y
0,female,37.0,0,0,9.5875,third,,southampton,y
0,male,18.0,1,0,108.9,first,c,cherbourg,n
1,female,33.0,0,2,26.0,second,,southampton,n
1,male,28.0,0,0,26.55,first,,southampton,y
1,male,26.0,0,0,56.4958,third,,southampton,y
1,female,54.0,1,0,59.4,first,,cherbourg,n
0,male,24.0,0,0,7.4958,third,,southampton,y
0,male,47.0,0,0,34.0208,first,d,southampton,y
1,female,34.0,0,0,10.5,second,f,southampton,y
1,female,36.0,1,0,26.0,second,,southampton,n
0,male,32.0,0,0,7.8958,third,,southampton,y
1,female,30.0,0,0,93.5,first,b,southampton,y
0,male,22.0,0,0,7.8958,third,,southampton,y
1,female,44.0,0,1,57.9792,first,b,cherbourg,n
0,male,28.0,0,0,7.2292,third,,cherbourg,y
0,male,40.5,0,0,7.75,third,,queenstown,y
1,female,50.0,0,0,10.5,second,,southampton,y
0,male,28.0,0,0,221.7792,first,c,southampton,y
0,male,23.0,2,1,11.5,second,,southampton,n
1,female,2.0,1,1,26.0,second,,southampton,n
0,male,17.0,1,1,7.2292,third,,cherbourg,n
1,female,28.0,0,2,22.3583,third,,cherbourg,n
0,female,30.0,0,0,8.6625,third,,southampton,y
1,female,7.0,0,2,26.25,second,,southampton,n
0,male,45.0,0,0,26.55,first,b,southampton,y
1,female,30.0,0,0,106.425,first,,cherbourg,y
1,female,22.0,0,2,49.5,first,b,cherbourg,n
1,female,36.0,0,2,71.0,first,b,southampton,n
0,female,9.0,4,2,31.275,third,,southampton,n
0,female,11.0,4,2,31.275,third,,southampton,n
0,male,50.0,1,0,106.425,first,c,cherbourg,n
1,female,19.0,1,0,26.0,second,,southampton,n
1,male,28.0,0,0,13.8625,second,,cherbourg,y
0,male,33.0,1,1,20.525,third,,southampton,n
1,male,17.0,0,2,110.8833,first,c,cherbourg,n
0,male,27.0,0,0,26.0,second,,southampton,y
0,male,28.0,0,0,7.8292,third,,queenstown,y
1,female,22.0,0,0,7.775,third,,southampton,y
1,female,48.0,1,0,39.6,first,a,cherbourg,n
0,male,28.0,0,0,227.525,first,,cherbourg,y
1,female,39.0,1,1,79.65,first,e,southampton,n
1,female,36.0,1,0,17.4,third,,southampton,n
0,male,40.0,0,0,7.8958,third,,southampton,y
0,male,24.0,2,0,24.15,third,,southampton,n
0,male,19.0,0,0,7.8958,third,,southampton,y
0,female,29.0,0,4,21.075,third,,southampton,n
1,male,32.0,0,0,7.8542,third,,southampton,y
1,male,62.0,0,0,10.5,second,,southampton,y
1,female,53.0,2,0,51.4792,first,c,southampton,n
1,male,36.0,0,0,26.3875,first,e,southampton,y
0,male,16.0,0,0,8.05,third,,southampton,y
1,female,34.0,0,0,13.0,second,,southampton,y
1,female,25.0,1,1,30.0,second,,southampton,n
0,male,36.0,0,0,40.125,first,a,cherbourg,y
0,male,47.0,0,0,15.0,second,,southampton,y
1,male,60.0,1,1,79.2,first,b,cherbourg,n
0,male,35.0,0,0,7.125,third,,southampton,y
1,female,52.0,1,0,78.2667,first,d,cherbourg,n
0,male,47.0,0,0,7.25,third,,southampton,y
0,female,28.0,0,2,7.75,third,,queenstown,n
0,male,37.0,1,0,26.0,second,,southampton,n
0,male,36.0,1,1,24.15,third,,southampton,n
1,female,28.0,0,0,33.0,second,,southampton,y
0,male,49.0,0,0,0.0,third,,southampton,y
1,male,49.0,1,0,56.9292,first,a,cherbourg,n
1,male,35.0,0,0,26.55,first,,cherbourg,y
0,male,36.0,1,0,15.55,third,,southampton,n
0,male,30.0,0,0,7.8958,third,,southampton,y
1,male,27.0,0,0,30.5,first,,southampton,y
1,female,22.0,1,2,41.5792,second,,cherbourg,n
1,female,40.0,0,0,153.4625,first,c,southampton,y
0,female,39.0,1,5,31.275,third,,southampton,n
0,male,28.0,0,0,7.05,third,,southampton,y
0,male,35.0,0,0,8.05,third,,southampton,y
1,female,24.0,1,2,65.0,second,,southampton,n
0,male,34.0,1,1,14.4,third,,southampton,n
0,male,26.0,0,0,10.5,second,,southampton,y
1,male,20.0,1,1,15.7417,third,,cherbourg,n
0,male,61.0,0,0,32.3208,first,d,southampton,y
0,male,57.0,0,0,12.35,second,,queenstown,y
1,female,21.0,0,0,77.9583,first,d,southampton,y
0,male,26.0,0,0,7.8958,third,,southampton,y
0,male,28.0,0,0,7.7333,third,,queenstown,y
1,male,80.0,0,0,30.0,first,a,southampton,y
0,male,51.0,0,0,7.0542,third,,southampton,y
1,male,32.0,0,0,30.5,first,b,cherbourg,y
0,female,9.0,3,2,27.9,third,,southampton,n
0,female,41.0,0,5,39.6875,third,,southampton,n
0,male,28.0,1,0,16.1,third,,southampton,n
0,male,20.0,0,0,7.8542,third,,southampton,y
1,male,28.0,0,0,56.4958,third,,southampton,y
1,male,48.0,1,0,76.7292,first,d,cherbourg,n
0,male,28.0,0,0,7.55,third,,southampton,y
1,female,23.0,0,0,7.55,third,,southampton,y
1,female,18.0,0,1,23.0,second,,southampton,n
0,male,21.0,0,0,8.4333,third,,southampton,y
0,male,24.0,2,0,73.5,second,,southampton,n
0,female,32.0,1,1,15.5,third,,queenstown,n
1,male,50.0,2,0,133.65,first,,southampton,n
0,male,47.0,0,0,25.5875,first,e,southampton,y
0,male,36.0,0,0,7.4958,third,,southampton,y
1,male,20.0,1,0,7.925,third,,southampton,n
0,male,28.0,0,0,7.775,third,,southampton,y
0,male,43.0,0,0,8.05,third,,southampton,y
1,female,40.0,1,1,39.0,second,,southampton,n
0,male,31.0,1,0,52.0,first,b,southampton,n
1,male,31.0,0,0,13.0,second,,southampton,y
0,male,18.0,0,0,7.775,third,,southampton,y
1,female,18.0,0,0,9.8417,third,,southampton,y
1,male,36.0,0,1,512.3292,first,b,cherbourg,n
1,male,27.0,0,0,76.7292,first,d,cherbourg,y
0,male,20.0,0,0,9.225,third,,southampton,y
0,male,14.0,5,2,46.9,third,,southampton,n
0,male,60.0,1,1,39.0,second,,southampton,n
0,male,19.0,0,0,10.1708,third,,southampton,y
0,male,18.0,0,0,7.7958,third,,southampton,y
1,female,15.0,0,1,211.3375,first,b,southampton,n
1,male,31.0,1,0,57.0,first,b,southampton,n
1,female,4.0,0,1,13.4167,third,,cherbourg,n
0,male,60.0,0,0,26.55,first,,southampton,y
1,female,28.0,0,0,7.7333,third,,queenstown,y
0,male,49.0,1,1,110.8833,first,c,cherbourg,n
1,male,35.0,0,0,26.2875,first,e,southampton,y
0,male,25.0,0,0,7.7417,third,,queenstown,y
0,male,39.0,0,0,26.0,second,,southampton,y
1,female,22.0,0,0,151.55,first,,southampton,y
1,female,24.0,0,0,49.5042,first,c,cherbourg,y
0,male,28.0,0,0,26.55,first,c,southampton,y
1,male,48.0,1,0,52.0,first,c,southampton,n
0,male,29.0,0,0,9.4833,third,,southampton,y
0,male,19.0,0,0,7.65,third,f,southampton,y
1,female,38.0,0,0,227.525,first,c,cherbourg,y
1,female,27.0,0,0,10.5,second,e,southampton,y
0,male,28.0,0,0,15.5,third,,queenstown,y
0,male,33.0,0,0,7.775,third,,southampton,y
1,female,6.0,0,1,33.0,second,,southampton,n
0,male,50.0,0,0,13.0,second,,southampton,y
1,male,27.0,1,0,53.1,first,e,southampton,n
1,female,30.0,3,0,21.0,second,,southampton,n
0,male,25.0,1,0,26.0,second,,southampton,n
0,female,25.0,1,0,7.925,third,,southampton,n
1,female,29.0,0,0,211.3375,first,b,southampton,y
0,male,11.0,0,0,18.7875,third,,cherbourg,y
0,male,23.0,0,0,13.0,second,,southampton,y
1,male,35.0,0,0,512.3292,first,b,cherbourg,y
0,male,36.0,1,0,78.85,first,c,southampton,n
1,female,21.0,2,2,262.375,first,b,cherbourg,n
0,male,24.0,1,0,16.1,third,,southampton,n
0,male,70.0,1,1,71.0,first,b,southampton,n
1,female,4.0,1,1,23.0,second,,southampton,n
1,male,6.0,0,1,12.475,third,e,southampton,n
0,male,33.0,0,0,9.5,third,,southampton,y
0,male,23.0,0,0,7.8958,third,,southampton,y
1,female,48.0,1,2,65.0,second,,southampton,n
0,male,28.0,0,0,7.7958,third,,southampton,y
0,male,28.0,0,0,14.5,third,,southampton,y
0,male,41.0,0,0,7.125,third,,southampton,y
1,male,20.0,0,0,7.2292,third,,cherbourg,y
1,female,51.0,1,0,77.9583,first,d,southampton,n
0,male,28.0,0,0,39.6,first,,cherbourg,y
0,male,28.0,1,0,24.15,third,,queenstown,n
0,male,32.0,0,0,8.3625,third,,southampton,y
0,male,48.0,0,0,7.8542,third,,southampton,y
0,female,57.0,0,0,10.5,second,e,southampton,y
0,male,18.0,0,0,7.75,third,,southampton,y
0,male,28.0,0,0,7.75,third,f,queenstown,y
1,female,5.0,0,0,12.475,third,,southampton,y
1,female,17.0,1,0,57.0,first,b,southampton,n
0,male,29.0,0,0,30.0,first,d,southampton,y
0,male,28.0,1,2,23.45,third,,southampton,n
0,male,25.0,0,0,7.05,third,,southampton,y
1,male,1.0,1,2,20.575,third,,southampton,n
0,male,46.0,0,0,79.2,first,b,cherbourg,y
0,male,16.0,0,0,26.0,second,,southampton,y
0,male,28.0,0,0,30.6958,first,,cherbourg,y
0,male,25.0,0,0,7.8958,third,,southampton,y
0,male,39.0,0,0,13.0,second,,southampton,y
1,female,49.0,0,0,25.9292,first,d,southampton,y
1,female,31.0,0,0,8.6833,third,,southampton,y
0,male,30.0,0,0,7.2292,third,,cherbourg,y
0,female,30.0,1,1,24.15,third,,southampton,n
0,male,34.0,0,0,13.0,second,,southampton,y
1,female,31.0,1,1,26.25,second,,southampton,n
1,male,11.0,1,2,120.0,first,b,southampton,n
0,male,31.0,0,0,7.775,third,,southampton,y
0,male,39.0,0,0,0.0,first,a,southampton,y
1,female,33.0,1,0,53.1,first,e,southampton,n
0,male,26.0,0,0,7.8875,third,,southampton,y
0,male,39.0,0,0,24.15,third,,southampton,y
0,male,35.0,0,0,10.5,second,,southampton,y
0,male,30.5,0,0,8.05,third,,southampton,y
0,male,28.0,0,0,0.0,first,b,southampton,y
0,female,23.0,0,0,7.925,third,,southampton,y
0,male,31.0,1,1,37.0042,second,,cherbourg,n
0,male,10.0,3,2,27.9,third,,southampton,n
1,female,52.0,1,1,93.5,first,b,southampton,n
1,male,27.0,0,0,8.6625,third,,southampton,y
0,male,2.0,4,1,39.6875,third,,southampton,n
0,male,28.0,0,0,6.95,third,,queenstown,y
1,male,28.0,0,0,7.75,third,,queenstown,y
1,female,15.0,1,0,14.4542,third,,cherbourg,n
0,male,23.0,0,0,7.8542,third,,southampton,y
0,male,18.0,0,0,8.3,third,,southampton,y
1,female,39.0,1,1,83.1583,first,e,cherbourg,n
0,male,21.0,0,0,8.6625,third,,southampton,y
1,male,28.0,0,0,29.7,first,c,cherbourg,y
0,male,16.0,0,0,10.5,second,,southampton,y
1,female,30.0,0,0,31.0,first,,cherbourg,y
0,male,34.5,0,0,6.4375,third,,cherbourg,y
0,male,42.0,0,0,7.55,third,,southampton,y
0,male,35.0,0,0,7.8958,third,,cherbourg,y
